mode,iteration,timestamp,heuristic,solution_length,visited_states,time_taken,solution_steps
3,1,2025-04-24T18:17:17.203116,Manhattan distance,20,204,76.256µs,[LEFT DOWN RIGHT UP LEFT LEFT DOWN RIGHT DOWN LEFT UP RIGHT RIGHT UP LEFT LEFT DOWN RIGHT DOWN RIGHT]
3,1,2025-04-24T18:17:17.203116,Linear Conflict,20,119,79.141µs,[LEFT DOWN RIGHT UP LEFT LEFT DOWN RIGHT DOWN LEFT UP RIGHT RIGHT UP LEFT LEFT DOWN RIGHT DOWN RIGHT]
3,2,2025-04-24T18:17:17.204841,Manhattan distance,22,509,183.679µs,[LEFT DOWN RIGHT DOWN LEFT UP UP RIGHT DOWN LEFT UP LEFT DOWN DOWN RIGHT UP UP LEFT DOWN RIGHT RIGHT DOWN]
3,2,2025-04-24T18:17:17.204841,Linear Conflict,22,213,130.889µs,[LEFT DOWN RIGHT DOWN LEFT UP UP RIGHT DOWN LEFT UP LEFT DOWN DOWN RIGHT UP UP LEFT DOWN RIGHT RIGHT DOWN]
3,3,2025-04-24T18:17:17.207500,Manhattan distance,24,1780,714.238µs,[RIGHT UP LEFT UP RIGHT DOWN RIGHT UP LEFT LEFT DOWN RIGHT RIGHT DOWN LEFT LEFT UP RIGHT UP RIGHT DOWN LEFT DOWN RIGHT]
3,3,2025-04-24T18:17:17.207500,Linear Conflict,24,1036,651.299µs,[RIGHT UP LEFT UP RIGHT DOWN RIGHT UP LEFT LEFT DOWN RIGHT RIGHT DOWN LEFT LEFT UP RIGHT UP RIGHT DOWN LEFT DOWN RIGHT]
3,4,2025-04-24T18:17:17.209030,Manhattan distance,21,338,112.594µs,[LEFT LEFT UP RIGHT DOWN RIGHT DOWN LEFT LEFT UP UP RIGHT DOWN RIGHT DOWN LEFT LEFT UP RIGHT RIGHT DOWN]
3,4,2025-04-24T18:17:17.209030,Linear Conflict,21,132,87.316µs,[LEFT LEFT UP RIGHT DOWN RIGHT DOWN LEFT LEFT UP UP RIGHT DOWN RIGHT DOWN LEFT LEFT UP RIGHT RIGHT DOWN]
3,5,2025-04-24T18:17:17.210900,Manhattan distance,22,630,210.2µs,[UP RIGHT DOWN RIGHT UP UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT LEFT DOWN RIGHT RIGHT DOWN LEFT UP RIGHT DOWN]
3,5,2025-04-24T18:17:17.210900,Linear Conflict,22,377,294.31µs,[UP RIGHT DOWN RIGHT UP UP LEFT LEFT DOWN RIGHT RIGHT UP LEFT LEFT DOWN RIGHT RIGHT DOWN LEFT UP RIGHT DOWN]
